Level,Depot,Vehicle,Unique_Edges,Unique_Distance_km,Total_Unique_Distance_km,Avg_Time_per_Vehicle_h,Avg_Distance_per_Vehicle_km
Vehicle,60,5,263,72.30397997174747,,,
Vehicle,60,6,227,48.28155580385425,,,
Depot,60,,1164,,364.2198649220976,0.75879138525437,60.7033108203496
Vehicle,61,1,295,127.73969016914009,,,
Vehicle,61,2,291,74.45739679114139,,,
Vehicle,61,3,277,48.05189820830782,,,
Vehicle,61,4,235,70.42163361232521,,,
Vehicle,61,5,208,85.30001475870284,,,
Vehicle,61,6,17,6.420446961108533,,,
Depot,61,,1123,,345.65929025537207,0.7201235213653585,57.609881709228674
Vehicle,62,1,262,126.77487625913881,,,
Vehicle,62,2,304,135.06907428906746,,,
Vehicle,62,3,228,40.614713022741725,,,
Vehicle,62,4,361,143.6892337447112,,,
Vehicle,62,5,258,78.30283083808023,,,
Vehicle,62,6,237,113.89373370133893,,,
Depot,62,,1355,,492.7107064094251,1.026480638352969,82.1184510682375
Vehicle,63,1,234,135.64440763846397,,,
Vehicle,63,2,261,111.03842367786764,,,
Vehicle,63,3,255,76.88943707777784,,,
Vehicle,63,4,284,59.64402785484835,,,
Vehicle,63,5,297,103.07320223662072,,,
Vehicle,63,6,266,44.022265803269875,,,
Depot,63,,1330,,414.7412111269157,0.8640441898477411,69.12353518781929
Vehicle,64,1,240,61.85630483960253,,,
Vehicle,64,2,47,11.782250539569262,,,
Vehicle,64,3,27,1.784334199893319,,,
Vehicle,64,4,30,1.7498657467727734,,,
Vehicle,64,5,36,2.3886532208133158,,,
Vehicle,64,6,25,1.7119744682343123,,,
Depot,64,,276,,71.84960522021859,0.14968667754212206,11.974934203369767
Vehicle,65,1,378,127.3178233636616,,,
Vehicle,65,2,357,126.6897129866531,,,
Vehicle,65,3,354,128.56344558317934,,,
Vehicle,65,4,375,156.29748682293544,,,
Vehicle,65,5,349,136.4152130146211,,,
Vehicle,65,6,327,86.28650876841196,,,
Depot,65,,1512,,488.0384654382864,1.01674680299643,81.33974423971439
Vehicle,66,1,225,105.76722059312239,,,
Vehicle,66,2,246,26.955680704611282,,,
Vehicle,66,3,256,44.597884052735296,,,
Vehicle,66,4,283,70.4782177353403,,,
Vehicle,66,5,273,63.8099272631038,,,
Vehicle,66,6,324,137.65606357742757,,,
Depot,66,,1313,,377.56507318439867,0.7865939024674973,62.92751219739977
Vehicle,67,1,247,62.00572138424516,,,
Vehicle,67,2,323,157.50358888157078,,,
Vehicle,67,3,250,104.72154107331941,,,
Vehicle,67,4,239,93.69300195624345,,,
Vehicle,67,5,235,77.55820782803218,,,
Vehicle,67,6,21,1.4745275959031854,,,
Depot,67,,1087,,424.96594247485507,0.8853457134892814,70.8276570791425
Vehicle,68,1,301,134.19072907593565,,,
Vehicle,68,2,170,62.66608293905459,,,
Vehicle,68,3,103,20.880069845209274,,,
Vehicle,68,4,93,21.355444813266175,,,
Vehicle,68,5,106,24.19775042175274,,,
Vehicle,68,6,93,13.82901503786372,,,
Depot,68,,393,,172.38116471139708,0.35912742648207724,28.73019411856618
Vehicle,69,1,122,37.68792342488196,,,
Vehicle,69,2,106,32.11032343280212,,,
Vehicle,69,3,119,40.596762627964154,,,
Vehicle,69,4,102,33.920303232381706,,,
Vehicle,69,5,106,30.926088425463718,,,
Vehicle,69,6,82,26.987103127025577,,,
Depot,69,,165,,57.345617989753244,0.11947003747865259,9.557602998292207
Vehicle,70,1,276,120.47809319088442,,,
Vehicle,70,2,280,89.31864233376571,,,
Vehicle,70,3,259,99.70296959933005,,,
Vehicle,70,4,108,38.17819440078559,,,
Vehicle,70,5,136,52.94846967618437,,,
Vehicle,70,6,82,42.33874517608452,,,
Depot,70,,779,,293.2289550426782,0.6108936563389129,48.87149250711303
Vehicle,71,1,23,3.302094545736182,,,
Vehicle,71,2,23,3.7939423502985536,,,
Vehicle,71,3,20,2.858236937544416,,,
Vehicle,71,4,19,3.2051869062338123,,,
Vehicle,71,5,19,2.604737211084212,,,
Vehicle,71,6,25,3.7519116721929,,,
Depot,71,,28,,4.9956891035627775,0.010407685632422453,0.8326148505937963
Vehicle,72,1,43,2.089935699952639,,,
Vehicle,72,2,44,6.312108459442031,,,
Vehicle,72,3,44,7.260883251217749,,,
Vehicle,72,4,43,2.089935699952639,,,
Vehicle,72,5,49,2.260979796096089,,,
Vehicle,72,6,50,2.2699271762998974,,,
Depot,72,,64,,10.779110255524575,0.022456479699009532,1.7965183759207624
Vehicle,73,1,341,90.09549020623129,,,
Vehicle,73,2,381,112.60468850045741,,,
Vehicle,73,3,419,109.79213389332922,,,
Vehicle,73,4,363,91.20429469175554,,,
Vehicle,73,5,421,92.72040434940259,,,
Vehicle,73,6,374,116.4225370704954,,,
Depot,73,,1796,,492.55422370813085,1.0261546327252726,82.0923706180218
Vehicle,74,1,367,260.13787665684043,,,
Vehicle,74,2,351,87.41225697177818,,,
Vehicle,74,3,464,179.35783936668417,,,
Vehicle,74,4,424,255.53087424702585,,,
Vehicle,74,5,333,164.59829552848177,,,
Vehicle,74,6,282,80.75070585608884,,,
Depot,74,,1655,,761.9765814263826,1.587451211304964,126.9960969043971
Vehicle,75,1,321,128.1251042256989,,,
Vehicle,75,2,334,118.10426297747614,,,
Vehicle,75,3,339,123.72581008946884,,,
Vehicle,75,4,343,115.38127709771392,,,
Vehicle,75,5,484,215.3174816350898,,,
Vehicle,75,6,374,159.48411011614866,,,
Depot,75,,1758,,671.8296565387608,1.399645117789085,111.9716094231268
Vehicle,76,1,408,163.4214579799668,,,
Vehicle,76,2,350,217.66385108948538,,,
Vehicle,76,3,359,168.18999531133068,,,
Vehicle,76,4,448,232.0215840424591,,,
Vehicle,76,5,412,147.45471363569737,,,
Vehicle,76,6,505,270.28246704537577,,,
Depot,76,,1797,,858.3480572542566,1.788225119279701,143.05800954237608
Vehicle,77,1,275,88.50660157560672,,,
Vehicle,77,2,379,147.6760606428933,,,
Vehicle,77,3,408,159.99154198931518,,,
Vehicle,77,4,392,145.59329469743582,,,
Vehicle,77,5,346,142.0032467146319,,,
Vehicle,77,6,220,82.12238288832458,,,
Depot,77,,1732,,663.1394248707048,1.3815404684806352,110.52323747845081
Vehicle,78,1,43,18.512366208690164,,,
Vehicle,78,2,31,10.095913785931288,,,
Vehicle,78,3,34,9.595414718120358,,,
Vehicle,78,4,49,13.58712608363545,,,
Vehicle,78,5,29,9.243163253281802,,,
Vehicle,78,6,58,22.0645669669928,,,
Depot,78,,76,,31.348566447045464,0.06530951343134471,5.224761074507577
Vehicle,79,1,318,218.57716799909778,,,
